Date,Open,High,Low,Close,Adj Close,Volume
2019-07-18,1172.174561,1176.197632,1150.230591,1153.750732,1130.554810,5971454
2019-07-19,1159.556763,1163.899780,1136.241211,1142.001587,1119.041992,8168268
2019-07-22,1143.830200,1174.460327,1122.160522,1170.803101,1147.264526,14546294
2019-07-23,1174.917480,1183.055054,1152.424927,1164.448486,1141.037720,10158174
2019-07-24,1164.402710,1169.248657,1146.161743,1151.236328,1128.091187,7594589
2019-07-25,1155.716553,1160.333984,1121.886230,1126.000732,1103.362793,10902535
2019-07-26,1126.000732,1136.058350,1106.342529,1109.817017,1087.504395,10193752
2019-07-29,1112.651489,1117.314575,1101.862305,1107.211182,1084.951050,8813022
2019-07-30,1109.954224,1115.485962,1075.209595,1079.735474,1058.027710,10426558
2019-07-31,1075.026733,1083.484253,1062.820313,1066.340576,1044.902222,10614975
2019-08-01,1063.734619,1086.410156,1051.802612,1079.141235,1057.445557,11314111
2019-08-02,1074.980957,1095.599121,1062.546021,1082.889893,1067.488037,11883403
2019-08-05,1067.026245,1067.026245,1031.367310,1045.402344,1030.533813,15199566
2019-08-06,1037.539063,1051.116943,1025.881348,1031.641602,1016.968811,14533997
2019-08-07,1029.995850,1041.013550,1008.600403,1014.360718,999.933594,12674684
2019-08-08,1013.400635,1058.797241,1001.468628,1053.631348,1038.645752,15599284
2019-08-09,1062.317505,1074.798096,1053.585571,1062.546021,1047.433594,10985004
2019-08-13,1127.509399,1191.192627,1120.971924,1165.545654,1148.968262,52413572
2019-08-14,1192.289917,1192.701294,1170.665894,1177.889160,1161.136108,15844491
2019-08-16,1180.586426,1181.135010,1163.945557,1168.517212,1151.897583,10988883
2019-08-19,1171.305908,1185.706665,1170.345825,1181.866455,1165.057007,8158801
2019-08-20,1179.306396,1181.866455,1163.579834,1166.642822,1150.049805,7484649
2019-08-21,1166.368530,1169.111572,1158.002441,1162.071167,1145.543213,5338924
2019-08-22,1162.071167,1162.116821,1132.766846,1139.944336,1123.731201,7015976
2019-08-23,1132.858276,1174.003174,1121.429077,1166.551392,1149.959717,10653957
2019-08-26,1183.146484,1183.146484,1151.144897,1158.276733,1141.802734,9601252
2019-08-27,1174.917480,1174.917480,1153.156372,1165.637085,1149.058350,14200953
2019-08-28,1164.631348,1171.260254,1148.447632,1155.076538,1138.648193,5802744
2019-08-29,1148.813354,1152.287842,1129.475220,1135.372681,1119.224365,9445111
2019-08-30,1138.801392,1146.938965,1116.400269,1141.590088,1125.353394,12367620
2019-09-03,1135.829834,1136.515625,1097.199219,1103.051025,1087.362427,9365309
2019-09-04,1097.702148,1101.999512,1084.444336,1098.250732,1082.630493,16474697
2019-09-05,1103.416748,1109.268433,1091.073242,1095.919189,1080.332153,11497743
2019-09-06,1099.942261,1123.714966,1092.856201,1117.771729,1101.873779,11593409
2019-09-09,1116.080200,1127.372192,1109.222778,1117.497437,1101.603516,5873964
2019-09-11,1117.771729,1133.772583,1117.771729,1128.652344,1112.599731,6063950
2019-09-12,1129.200928,1134.183960,1102.411011,1106.662598,1090.922607,5940002
2019-09-13,1108.171265,1123.257690,1103.508179,1120.606201,1104.667969,6473857
2019-09-16,1087.141602,1114.662964,1084.489990,1107.028320,1091.283203,10273865
2019-09-17,1107.256958,1107.256958,1091.256104,1094.867676,1079.295532,7820386
2019-09-18,1101.725220,1112.102905,1094.639160,1102.411011,1086.731445,7466954
2019-09-19,1104.376709,1106.068237,1072.192261,1078.043945,1062.711060,6883111
2019-09-20,1086.181519,1161.111084,1073.700928,1146.893188,1130.580933,24082780
2019-09-23,1164.997070,1171.260254,1129.200928,1133.041138,1116.926147,10805422
2019-09-24,1137.064209,1187.535278,1136.286987,1169.157227,1152.528442,17479487
2019-09-25,1174.003174,1184.060913,1160.151123,1169.934448,1153.294678,9096135
2019-09-26,1181.317871,1187.535278,1173.546021,1185.706665,1168.842529,9175228
2019-09-27,1181.775024,1202.347534,1174.003174,1196.907227,1179.883789,9529331
2019-09-30,1197.775879,1221.319946,1193.707031,1218.119751,1200.794678,12631885
2019-10-01,1222.462891,1227.034546,1182.506470,1193.112793,1176.143311,8960192
2019-10-03,1175.831909,1202.073242,1171.534546,1198.735962,1181.686646,6762425
2019-10-04,1206.827759,1214.782471,1192.152710,1196.038574,1179.027588,7496126
2019-10-07,1196.038574,1207.650635,1190.186890,1197.867310,1180.830200,5030792
2019-10-09,1196.587280,1216.016846,1181.775024,1211.262207,1194.034668,8794323
2019-10-10,1211.490845,1251.721436,1207.833496,1246.006958,1228.285278,17503195
2019-10-11,1246.875488,1248.612793,1222.051392,1236.726440,1219.136719,8298563
2019-10-14,1248.018433,1248.018433,1235.126343,1241.663818,1224.003784,6697137
2019-10-15,1245.778320,1252.635864,1238.280762,1247.286987,1229.547119,4836395
2019-10-16,1252.544434,1261.459106,1246.875488,1254.784546,1236.937988,9701830
2019-10-17,1257.207520,1279.151489,1254.464478,1276.865601,1258.704834,8019470
2019-10-18,1283.723145,1305.575684,1278.877197,1295.015137,1276.596436,14060975
2019-10-22,1302.924072,1313.758911,1283.128784,1293.003662,1274.613403,13893251
2019-10-23,1294.969482,1303.792725,1264.659302,1273.116821,1255.009521,9223080
2019-10-24,1280.980103,1317.919189,1267.768066,1313.393188,1294.713135,11321244
2019-10-25,1317.644897,1317.964844,1290.352051,1308.593018,1289.981079,6769978
2019-10-27,1317.553467,1321.210815,1307.495728,1311.381714,1292.730103,1507420
2019-10-29,1321.667969,1353.212402,1318.559204,1341.371826,1322.293823,12884252
2019-10-30,1353.212402,1357.372681,1335.200073,1352.389526,1333.154663,8170683
2019-10-31,1356.869751,1362.035767,1336.480103,1338.903076,1319.859985,9731870
2019-11-01,1330.354126,1336.571533,1317.553467,1332.091309,1313.145142,6952150
2019-11-04,1340.320313,1344.983398,1321.302246,1332.777100,1313.821167,7031717
2019-11-05,1337.760254,1343.109009,1317.553467,1323.313721,1304.492432,6342678
2019-11-06,1319.107788,1322.536499,1306.124268,1311.975952,1293.315796,7312752
2019-11-07,1312.067505,1337.668701,1309.507324,1333.645752,1314.677490,7042019
2019-11-08,1324.868164,1334.605713,1317.827759,1321.667969,1302.870117,6009676
2019-11-11,1315.816162,1320.525024,1300.683960,1305.484253,1286.916504,5678920
2019-11-13,1307.495728,1349.463623,1307.495728,1346.171997,1327.025635,12612874
2019-11-14,1349.555054,1354.675293,1331.085571,1337.440186,1318.418091,7129066
2019-11-15,1340.091797,1359.429932,1337.805908,1344.846313,1325.718872,7845802
2019-11-18,1346.492065,1358.698364,1330.719849,1334.194336,1315.218262,7038025
2019-11-19,1341.326050,1385.122681,1339.497437,1380.413818,1360.780273,15088127
2019-11-20,1421.833130,1437.696777,1410.998291,1415.067017,1394.940674,21769060
2019-11-21,1412.644043,1422.701660,1397.603271,1405.877930,1385.882446,7448685
2019-11-22,1409.992432,1435.045166,1405.877930,1414.015503,1393.904053,11176432
2019-11-25,1418.267212,1430.747803,1418.130005,1427.776245,1407.469238,7573078
2019-11-26,1433.765137,1441.308350,1422.701660,1426.587646,1406.297485,17665491
2019-11-27,1426.313354,1440.531250,1422.793091,1435.365234,1414.950195,4821369
2019-11-28,1437.925293,1448.440186,1429.970703,1444.920044,1424.369263,6873739
2019-11-29,1446.428589,1446.428589,1415.249878,1418.267212,1398.095337,9279797
2019-12-02,1462.932373,1476.144409,1441.902710,1450.588867,1429.957275,15612682
2019-12-03,1456.303467,1457.446289,1437.879639,1443.639893,1423.107178,6495213
2019-12-04,1438.245361,1442.359863,1402.357788,1419.684448,1399.492554,10493803
2019-12-05,1439.159668,1444.417114,1411.729736,1417.992920,1397.825073,9971230
2019-12-06,1419.958740,1433.673706,1409.078125,1421.695923,1401.475342,6542617
2019-12-09,1422.838867,1442.268433,1414.015503,1437.879639,1417.428955,6321338
2019-12-10,1437.376709,1438.793945,1421.010132,1428.141968,1407.829712,5086666
2019-12-11,1422.335938,1439.616821,1417.764282,1428.553467,1408.235352,6182320
2019-12-12,1435.730957,1439.022583,1423.296021,1433.856567,1413.462891,5163303
2019-12-13,1444.645630,1453.789063,1437.696777,1447.297241,1426.712646,6334151
2019-12-16,1455.617676,1457.354858,1430.336426,1432.393677,1412.020874,5946359
2019-12-17,1432.530762,1443.731323,1422.290283,1428.827759,1408.505859,10162300
2019-12-18,1429.102051,1444.645630,1428.187744,1440.851196,1420.358154,7371038
2019-12-19,1438.885376,1476.555908,1437.148193,1472.029907,1451.093506,10253908
2019-12-20,1476.647339,1478.978882,1459.366455,1462.109497,1441.314087,10635755
2019-12-23,1426.450439,1442.405518,1424.347534,1436.782471,1416.347290,12553886
2019-12-24,1434.496582,1437.376709,1410.358154,1413.969849,1393.859131,9024224
2019-12-26,1409.581055,1419.912964,1380.779541,1385.579834,1365.872925,14880509
2019-12-27,1396.186035,1413.741211,1390.974365,1410.221069,1390.163696,8838785
2019-12-30,1413.512695,1415.067017,1397.146118,1411.912598,1391.831177,8561874
2019-12-31,1409.901001,1411.455444,1378.859497,1384.345459,1364.656250,11101502
2020-01-01,1387.957031,1396.277466,1376.527954,1380.276611,1360.645142,7002234
2020-01-02,1382.471069,1408.941040,1382.471069,1403.775024,1383.809448,8855158
2020-01-03,1401.671997,1409.581055,1392.528687,1405.466553,1385.476685,10492349
2020-01-06,1389.785767,1397.008911,1369.670410,1372.870605,1353.344482,12259588
2020-01-07,1388.871338,1403.043579,1383.842529,1393.991699,1374.165283,8341811
2020-01-08,1385.214111,1402.997803,1380.642456,1383.522583,1363.844971,8023951
2020-01-09,1406.792358,1417.215698,1400.072021,1415.387085,1395.256226,7491371
2020-01-10,1418.952881,1424.484619,1407.752319,1415.067017,1394.940674,6239179
2020-01-13,1412.689819,1425.170410,1406.609497,1411.455444,1391.380615,9141191
2020-01-14,1408.072388,1417.215698,1391.477295,1398.380493,1378.491455,7908267
2020-01-15,1404.277954,1407.980957,1388.185669,1393.305908,1373.489136,7908929
2020-01-16,1398.014771,1411.135376,1397.100342,1406.152222,1386.152832,6423987
2020-01-17,1420.415894,1449.171631,1420.141602,1445.560059,1425.000122,14731735
2020-01-20,1471.161377,1471.161377,1395.637451,1401.077759,1381.150513,16272925
2020-01-21,1397.649048,1413.421265,1391.614380,1402.494995,1382.547485,9461360
2020-01-22,1411.729736,1414.244141,1399.934814,1401.992065,1382.051636,5161408
2020-01-23,1404.872192,1409.855347,1390.425781,1396.048950,1376.193237,5623869
2020-01-24,1396.186035,1404.735107,1388.459961,1391.203003,1371.416138,7314222
2020-01-27,1385.122681,1393.854492,1376.070679,1377.487915,1357.896118,6693875
2020-01-28,1379.362305,1380.642456,1338.217407,1345.669189,1326.529907,12266118
2020-01-29,1347.772095,1366.378784,1338.628784,1353.075317,1333.830811,12373282
2020-01-30,1352.298096,1352.938110,1316.639160,1320.067871,1301.292725,11201344
2020-01-31,1328.525391,1328.754028,1286.649048,1290.717773,1272.360107,17375155
2020-02-03,1252.544434,1280.020142,1246.281250,1266.807983,1248.790405,15356145
2020-02-04,1280.065796,1309.781616,1278.054321,1304.204224,1285.654785,12691950
2020-02-05,1311.975952,1328.342529,1307.770142,1324.410889,1305.573975,9236050
2020-02-06,1329.531250,1341.326050,1316.730591,1332.914185,1313.956299,7769288
2020-02-07,1326.696777,1327.931152,1305.941406,1310.833130,1292.189453,6104606
2020-02-10,1305.667114,1321.667969,1289.620605,1312.616089,1293.946899,7571238
2020-02-11,1323.405151,1340.594604,1321.256470,1328.296875,1309.404785,6999908
2020-02-12,1331.405640,1348.503662,1330.354126,1344.343384,1325.223022,6766782
2020-02-13,1351.155151,1351.155151,1337.302979,1347.863525,1328.693237,6782829
2020-02-14,1350.697998,1372.824829,1328.616821,1360.161377,1340.816040,10613920
2020-02-17,1361.441406,1377.122192,1348.000732,1351.612305,1332.388550,6574565
2020-02-18,1349.463623,1349.463623,1332.548462,1341.691772,1322.609131,5563580
2020-02-19,1352.618042,1377.396484,1348.732178,1374.973511,1355.417480,7042204
2020-02-20,1368.756104,1378.813721,1356.686890,1358.652710,1339.328857,8446134
2020-02-24,1343.840454,1350.469360,1316.227661,1321.165039,1302.374268,10685107
2020-02-25,1327.062500,1327.062500,1289.209106,1295.060913,1276.641479,13872531
2020-02-26,1289.209106,1291.357788,1268.499512,1272.751099,1254.649048,14681374
2020-02-27,1269.093750,1274.396973,1251.721436,1267.493774,1249.466309,12527496
2020-02-28,1238.829346,1240.749512,1211.490845,1214.828125,1197.549805,19657884
2020-03-02,1239.012207,1251.721436,1189.638306,1203.399048,1186.283325,14750247
2020-03-03,1215.788208,1237.915039,1208.747803,1227.811646,1210.348755,13699399
2020-03-04,1236.177856,1237.823608,1195.855713,1224.931519,1207.509399,11052630
2020-03-05,1236.360718,1241.618164,1194.118530,1198.827393,1181.776611,15255195
2020-03-06,1161.202515,1177.797729,1134.778320,1162.116821,1145.588135,16867019
2020-03-09,1133.818237,1134.686890,1001.194336,1018.703796,1004.214905,44093509
2020-03-11,1013.080627,1077.495361,1013.080627,1054.728516,1039.727295,29789288
2020-03-12,992.051025,1006.680298,958.860718,971.935669,958.112000,27985242
2020-03-13,912.504028,1042.339355,861.667175,1010.611938,996.238159,36648701
2020-03-16,969.695557,987.205017,918.904358,928.687744,915.479126,19241129
2020-03-17,957.534912,969.192688,917.258606,921.647400,908.538940,22722989
2020-03-18,937.465332,947.157288,878.673767,885.531250,872.936462,22365207
2020-03-19,841.277527,884.159729,815.767639,839.083130,827.148926,30702005
2020-03-20,859.015564,946.242920,850.329407,930.744995,917.507141,31680237
2020-03-23,837.711609,868.616089,800.635437,808.315857,796.819336,20335474
2020-03-24,850.329407,886.902710,819.059265,862.581482,850.313171,22867443
2020-03-25,881.233887,1052.899780,880.731018,989.536560,975.462585,36565149
2020-03-26,1001.925781,1021.218201,953.054688,974.861511,960.996277,22872244
2020-03-27,1001.194336,1012.440613,956.574890,974.312927,960.455444,20828970
2020-03-30,951.454651,982.724792,932.619385,942.174133,928.773804,15114933
2020-03-31,981.947632,1033.013062,958.220703,1018.338074,1003.854370,22146405
2020-04-01,1026.109863,1028.258545,955.660583,987.890808,973.840149,20798729
2020-04-03,1037.264771,1037.264771,965.809631,985.147766,971.136169,20683903
2020-04-07,1007.686096,1109.999878,1005.765991,1102.776733,1087.092041,27186812
2020-04-08,1078.912598,1123.714966,1060.625977,1090.021729,1074.518555,24940165
2020-04-09,1109.999878,1127.189331,1090.798950,1115.440186,1099.575562,16516428
2020-04-13,1100.810913,1110.914307,1078.912598,1087.278809,1071.814575,11836892
2020-04-15,1094.501953,1130.115234,1045.082275,1051.345459,1036.392334,17660921
2020-04-16,1051.345459,1085.724365,1046.911011,1067.986328,1052.796509,18727853
2020-04-17,1111.828613,1124.629272,1090.478882,1119.143188,1103.225830,16634667
2020-04-20,1120.971924,1149.316162,1099.027954,1137.247070,1121.072266,18015466
2020-04-21,1106.342529,1144.744507,1064.283325,1131.349609,1115.258667,30685814
2020-04-22,1206.919189,1266.259399,1188.632568,1246.784058,1229.051270,71341683
2020-04-23,1250.212891,1267.128052,1237.366455,1253.458740,1235.631104,32732251
2020-04-24,1234.486328,1366.881714,1231.789063,1295.609497,1277.182251,67493154
2020-04-27,1311.153076,1348.640747,1301.095459,1307.267212,1288.674194,29241450
2020-04-28,1325.782471,1330.765503,1272.888306,1305.804321,1287.232056,39226700
2020-04-29,1321.119385,1329.119751,1298.352417,1304.707031,1286.150391,18747336
2020-04-30,1329.394043,1366.881714,1314.856201,1340.411743,1321.347290,35672949
2020-05-04,1316.639160,1339.497437,1296.020874,1312.250366,1293.586304,26728434
2020-05-05,1329.165527,1352.298096,1323.222290,1335.520020,1316.525146,22451881
2020-05-06,1338.583130,1357.738403,1321.667969,1335.611572,1316.615479,20244547
2020-05-07,1330.354126,1383.979736,1321.210815,1377.853638,1358.256592,25013483
2020-05-08,1412.644043,1444.554199,1405.420776,1428.004883,1407.694580,42131385
